"question","categorie","difficulte","option_a","option_b","option_c","option_d","option_e","correct_option"
"Pourquoi utiliser des adapters en NLP transféré ?","NLP","avancé","Affiner des modules légers sans mettre à jour tous les poids","Supprimer les labels","Remplacer l'encodeur","Forcer une langue unique","Éviter les évaluations","A"
"Dans une tâche QA extractive que prédit typiquement le modèle ?","NLP","avancé","Des positions de début et fin de réponse","Une traduction complète","Une classe de sentiment","Un score de perplexité","Une matrice de confusion","A"
"À quoi sert un CRF au-dessus d'un encodeur pour le NER ?","NLP","avancé","Modéliser les dépendances entre labels voisins","Réduire la taille du vocabulaire","Éviter les embeddings contextuels","Imposer des tokens fixes","Accélérer la tokenisation","A"
"Quel est l'objectif d'une loss contrastive pour embeddings de phrases ?","NLP","avancé","Rapprocher les paires similaires et éloigner les dissemblables","Augmenter la longueur des phrases","Supprimer les stop words","Évaluer la grammaire","Réduire le coût API","A"
"Que permet la distillation de modèle en NLP ?","NLP","avancé","Transférer des connaissances d'un grand modèle vers un plus petit","Créer des labels manquants","Éliminer les hallucinations","Supprimer les données de validation","Forcer des sorties déterministes","A"
"Dans un modèle seq2seq à quoi sert le teacher forcing ?","NLP","avancé","Utiliser le token réel précédent pendant l'entraînement","Réduire la fenêtre de contexte","Supprimer le décodeur","Augmenter le nombre de couches","Éviter le beam search","A"
"Quel est le risque principal d'un vocabulaire de sous-mots trop grand ?","NLP","avancé","Fragmentation insuffisante et OOV plus fréquents sur morphologies rares","Perte totale d'ordre des mots","Suppression de la ponctuation","Échec de l'optimisation","Biais de sélection","A"
"Pourquoi la métrique exact match peut-elle être stricte en QA ?","NLP","avancé","Elle exige une correspondance textuelle exacte de la réponse","Elle ignore la ponctuation","Elle favorise les réponses longues","Elle mesure uniquement la latence","Elle dépend de l'optimizer","A"
"Que mesure une évaluation adversariale en NLP ?","NLP","avancé","La robustesse du modèle à des perturbations ciblées","La vitesse GPU brute","La taille du corpus","Le nombre de classes","La variance des gradients","A"
"Quel est l'intérêt d'un embedding positionnel relatif ?","NLP","avancé","Mieux généraliser à des longueurs de séquence différentes","Supprimer l'attention","Éviter le pré-entraînement","Garantir l'absence de biais","Réduire le nombre de tokens","A"
"Pourquoi utilise-t-on une pénalité de répétition au décodage LLM ?","LLM","avancé","Limiter les boucles de génération redondante","Augmenter la température automatiquement","Réduire la taille du modèle","Supprimer les hallucinations factuelles","Éviter le RAG","A"
"Dans un système RAG à quoi sert le chunk rerouting par métadonnées ?","LLM","avancé","Restreindre la recherche aux documents pertinents par contexte","Augmenter le nombre de tokens","Supprimer les embeddings","Forcer des réponses plus longues","Éviter le monitoring","A"
"Quel est l'objectif d'une évaluation groundedness en génération augmentée ?","LLM","avancé","Vérifier que la réponse est supportée par les sources récupérées","Mesurer la diversité lexicale uniquement","Optimiser la latence","Réduire le coût des GPU","Choisir la meilleure température","A"
"Pourquoi une stratégie toolformer peut améliorer un agent LLM ?","LLM","avancé","Permettre l'appel opportun d'outils externes selon le contexte","Supprimer le besoin de prompts","Réduire le nombre de paramètres","Éviter toute erreur de calcul","Remplacer la mémoire","A"
"Que permet un contrôleur de budget de tokens dans une application LLM ?","LLM","avancé","Maîtriser coût et latence en limitant contexte et sortie","Améliorer automatiquement la factualité","Éviter le chunking","Rendre le modèle multilingue","Supprimer les guardrails","A"
"Dans un pipeline LLM que signifie PII redaction avant prompting ?","LLM","avancé","Masquer les données personnelles sensibles en entrée","Accélérer l'entraînement du modèle","Réduire la taille du vocabulaire","Améliorer le rappel en classification","Supprimer la tokenisation","A"
"Quel est l'intérêt d'un judge model distinct pour l'évaluation ?","LLM","avancé","Obtenir un signal d'évaluation plus stable et automatisable","Augmenter la mémoire contextuelle","Réduire la température","Éviter les jeux de test","Choisir des hyperparamètres","A"
"Pourquoi combiner retrieval hybride dense plus BM25 ?","LLM","avancé","Améliorer le rappel en combinant signaux sémantiques et lexicaux","Réduire le nombre de documents indexés","Supprimer les embeddings","Forcer des réponses courtes","Éviter la réécriture de requête","A"
"Que mesure le taux de hallucination citation-free ?","LLM","avancé","La proportion de réponses non appuyées par des sources fournies","La longueur moyenne des prompts","Le nombre de tokens par seconde","Le coût de stockage vectoriel","La taille des modèles étudiants","A"
"Dans une architecture agentique à quoi sert une mémoire épisodique ?","LLM","avancé","Conserver des faits récents de session pour décisions ultérieures","Stocker les poids du modèle","Remplacer la base vectorielle","Éviter le fine-tuning","Supprimer le message system","A"
"Que mesure la fonction de survie S(t) ?","survival analysis","facile","La probabilité de survivre au-delà du temps t","Le nombre total de décès","La moyenne des covariables","La variance des durées","Le taux de faux positifs","A"
"Que représente la fonction de risque h(t) ?","survival analysis","intermédiaire","Le risque instantané d'événement à t sachant la survie jusqu'à t","La probabilité cumulée de survie","La pente d'une régression linéaire","Le nombre de sujets censurés","Le score AUC","A"
"La censure à droite signifie généralement que","survival analysis","intermédiaire","L'événement n'est pas observé avant la fin du suivi","L'événement est observé deux fois","Les données sont manquantes aléatoirement","La variable temps est négative","Le modèle est non identifié","A"
"Quel estimateur non paramétrique est standard pour S(t) ?","survival analysis","facile","Kaplan-Meier","PCA","K-means","DBSCAN","OLS","A"
"Le test log-rank sert principalement à","survival analysis","facile","Comparer des courbes de survie entre groupes","Prédire une variable continue","Mesurer la multicolinéarité","Réduire la dimension","Tracer une carte","A"
"Dans le modèle de Cox, l'hypothèse clé est","survival analysis","intermédiaire","La proportionnalité des risques","La normalité stricte des covariables","L'absence totale de censure","La linéarité parfaite du temps","L'indépendance des sujets n'est pas requise","A"
"Un hazard ratio supérieur à 1 indique","survival analysis","intermédiaire","Un risque plus élevé dans le groupe exposé","Un risque nul","Une meilleure survie certaine","Une absence d'effet","Un problème de convergence","A"
"L'avantage du modèle de Cox est","survival analysis","intermédiaire","Ne pas imposer de forme paramétrique pour le risque de base","Supprimer la censure","Garantir la causalité","Éviter toute validation","Ne pas utiliser de covariables","A"
"La médiane de survie correspond à","survival analysis","intermédiaire","Le temps où S(t)=0.5","La moitié des sujets censurés","La moyenne des temps observés","Le maximum de suivi","Le premier quartile","A"
"Une courbe Kaplan-Meier en marches reflète","survival analysis","facile","Des événements discrets dans le temps","Une erreur de tracé","Une régression logistique","Un clustering hiérarchique","Une normalisation min-max","A"
"Le risque cumulatif H(t) est lié à S(t) via","survival analysis","intermédiaire","S(t)=exp(-H(t))","S(t)=H(t)^2","S(t)=1+H(t)","S(t)=log(H(t))","S(t)=1/H(t)","A"
"Que traite une covariable dépendante du temps ?","survival analysis","intermédiaire","Un effet covariable qui évolue pendant le suivi","Une erreur de mesure fixe","Une variable catégorielle uniquement","Une projection spatiale","Une donnée textuelle","A"
"Pourquoi vérifier la proportionnalité des risques ?","survival analysis","intermédiaire","Pour valider l'interprétation constante du hazard ratio","Pour estimer la moyenne","Pour choisir un tokenizer","Pour éviter la censure","Pour mesurer l'AIC uniquement","A"
"Les résidus de Schoenfeld servent à","survival analysis","intermédiaire","Diagnostiquer l'hypothèse de risques proportionnels","Mesurer la stationnarité","Optimiser un réseau de neurones","Tracer une ROC","Réduire la variance","A"
"L'incidence cumulée en risques compétitifs estime","survival analysis","intermédiaire","La probabilité d'un type d'événement dans le temps","Le hazard de base uniquement","La médiane conditionnelle","Le nombre de clusters","La corrélation de Pearson","A"
"Un risque compétitif est","survival analysis","intermédiaire","Un événement qui empêche l'événement d'intérêt","Un doublon de mesure","Une covariable manquante","Un artefact visuel","Un test non paramétrique","A"
"Le modèle de Fine-Gray est utilisé pour","survival analysis","avancé","L'incidence cumulée en présence de risques compétitifs","La PCA","La régression ridge","Le geocoding","Le clustering dense","A"
"Le modèle exponentiel de survie suppose","survival analysis","intermédiaire","Un risque constant dans le temps","Une saisonnalité forte","Une censure inexistante","Une dépendance spatiale","Un hazard nul","A"
"Le modèle Weibull permet","survival analysis","avancé","Un risque croissant ou décroissant selon ses paramètres","Uniquement un risque constant","Aucune censure","Uniquement des données binaires","Des cartes de flux","A"
"AFT signifie en survie","survival analysis","avancé","Accelerated Failure Time","Automatic Feature Tuning","Average Forecast Trend","Adaptive Filtering Test","Augmented Failure Tree","A"
"Dans un modèle AFT un coefficient positif indique souvent","survival analysis","avancé","Un allongement du temps de survie","Un hazard ratio > 2 automatique","Une baisse de censure","Une normalité garantie","Un biais certain","A"
"Pourquoi utiliser des courbes de Nelson-Aalen ?","survival analysis","intermédiaire","Estimer le risque cumulatif","Estimer la probabilité conditionnelle de classes","Faire du text mining","Tracer des frontières","Mesurer le VIF","A"
"Un intervalle de confiance d'un hazard ratio qui inclut 1 suggère","survival analysis","intermédiaire","Effet potentiellement non significatif","Effet nécessairement fort","Erreur de saisie certaine","Absence de censure","Données invalides","A"
"La censure informative pose problème car","survival analysis","avancé","Elle peut biaiser les estimations de survie","Elle améliore la précision","Elle supprime les outliers","Elle évite les hypothèses","Elle remplace la validation","A"
"Le temps d'entrée différée correspond à","survival analysis","intermédiaire","Une troncature à gauche","Une censure à droite","Une erreur de codage","Une projection géographique","Un bootstrap","A"
"Pourquoi stratifier un modèle de Cox ?","survival analysis","intermédiaire","Permettre des risques de base différents entre strates","Supprimer les covariables","Imposer l'homoscédasticité","Éviter la censure","Créer des clusters","A"
"Un modèle multivarié de survie permet","survival analysis","intermédiaire","D'ajuster plusieurs covariables simultanément","D'éviter toute hypothèse","De supprimer la variabilité","De convertir en NLP","De cartographier des points","A"
"Le C-index en survie mesure","survival analysis","intermédiaire","La capacité de classement des risques prédits","La variance résiduelle","Le nombre d'événements","L'erreur quadratique moyenne","Le score BLEU","A"
"Dans une validation temporelle en survie on évite","survival analysis","avancé","Les fuites d'information sur le futur","La censure","Les covariables","Les événements","Le hasard","A"
"Un suivi plus long augmente souvent","survival analysis","intermédiaire","Le nombre d'événements observés","La proportion de données textuelles","Le nombre de variables latentes","Le nombre de projections","Le nombre de classes","A"
"Quel est le role principal de cle primaire ?","gestion de base de données","facile","identifier de facon unique chaque ligne","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Dans un SGBD, a quoi sert cle etrangere ?","gestion de base de données","facile","lier des tables et garantir l integrite referentielle","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quelle definition decrit le mieux INNER JOIN ?","gestion de base de données","facile","retourner les lignes presentes dans les deux tables","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quel objectif associe-t-on surtout a LEFT JOIN ?","gestion de base de données","facile","conserver toutes les lignes de gauche","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"GROUP BY est principalement utilise pour ...","gestion de base de données","facile","former des groupes pour calculer des agregats","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quel est le role principal de HAVING ?","gestion de base de données","facile","filtrer les groupes apres aggregation","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Dans un SGBD, a quoi sert WHERE ?","gestion de base de données","facile","filtrer les lignes avant aggregation","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quelle definition decrit le mieux index B-tree ?","gestion de base de données","intermédiaire","accelerer recherche et tri sur des colonnes frequentes","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Quel objectif associe-t-on surtout a contrainte UNIQUE ?","gestion de base de données","facile","eviter les doublons sur une colonne ou combinaison","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"transaction est principalement utilise pour ...","gestion de base de données","facile","garantir une suite d operations coherente","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quel est le role principal de COMMIT ?","gestion de base de données","facile","valider durablement les modifications","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Dans un SGBD, a quoi sert ROLLBACK ?","gestion de base de données","facile","annuler les changements non valides","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Quelle definition decrit le mieux vue SQL ?","gestion de base de données","facile","encapsuler une requete reutilisable","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quel objectif associe-t-on surtout a vue materialisee ?","gestion de base de données","intermédiaire","stocker un resultat precalcule","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"normalisation 1NF est principalement utilise pour ...","gestion de base de données","intermédiaire","rendre les attributs atomiques","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quel est le role principal de normalisation 3NF ?","gestion de base de données","intermédiaire","reduire les dependances transitives","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Dans un SGBD, a quoi sert denormalisation ?","gestion de base de données","intermédiaire","optimiser certaines lectures analytiques","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quelle definition decrit le mieux contrainte CHECK ?","gestion de base de données","intermédiaire","faire respecter une regle metier","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quel objectif associe-t-on surtout a trigger ?","gestion de base de données","intermédiaire","executer une action automatique sur evenement","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"DDL est principalement utilise pour ...","gestion de base de données","facile","definir ou modifier le schema","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Quel est le role principal de DML ?","gestion de base de données","facile","manipuler les lignes de donnees","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Dans un SGBD, a quoi sert DCL ?","gestion de base de données","intermédiaire","gerer les privileges utilisateurs","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quelle definition decrit le mieux TCL ?","gestion de base de données","facile","piloter COMMIT et ROLLBACK","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quel objectif associe-t-on surtout a EXPLAIN ?","gestion de base de données","intermédiaire","inspecter le plan d execution","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"full table scan est principalement utilise pour ...","gestion de base de données","intermédiaire","lire toutes les lignes de la table","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quel est le role principal de partitionnement ?","gestion de base de données","avancé","decouper une grande table en segments","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Dans un SGBD, a quoi sert sharding ?","gestion de base de données","avancé","repartir horizontalement les donnees","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quelle definition decrit le mieux replication ?","gestion de base de données","avancé","ameliorer disponibilite et capacite de lecture","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Quel objectif associe-t-on surtout a backup logique ?","gestion de base de données","intermédiaire","exporter schema et donnees de maniere portable","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"backup physique est principalement utilise pour ...","gestion de base de données","intermédiaire","copier les fichiers de donnees du moteur","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quel est le role principal de point in time recovery ?","gestion de base de données","avancé","restaurer a un instant precis","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Dans un SGBD, a quoi sert VACUUM PostgreSQL ?","gestion de base de données","avancé","recycler l espace et maintenir les performances","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Quelle definition decrit le mieux deadlock ?","gestion de base de données","avancé","decrire un blocage circulaire entre transactions","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quel objectif associe-t-on surtout a isolation READ COMMITTED ?","gestion de base de données","facile","eviter la lecture de donnees non validees","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"isolation SERIALIZABLE est principalement utilise pour ...","gestion de base de données","avancé","simuler une execution sequentielle sure","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quel est le role principal de dirty read ?","gestion de base de données","facile","lire une ecriture non committee","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Dans un SGBD, a quoi sert phantom read ?","gestion de base de données","intermédiaire","voir apparaitre des lignes entre deux lectures","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quelle definition decrit le mieux cle composite ?","gestion de base de données","intermédiaire","combiner plusieurs colonnes comme identifiant","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quel objectif associe-t-on surtout a schema en etoile ?","gestion de base de données","intermédiaire","organiser faits et dimensions en BI","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"ETL est principalement utilise pour ...","gestion de base de données","intermédiaire","extraire transformer puis charger les donnees","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Quel est le role principal de ELT ?","gestion de base de données","intermédiaire","charger puis transformer dans la cible","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Dans un SGBD, a quoi sert data lineage ?","gestion de base de données","avancé","tracer l origine et les transformations","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quelle definition decrit le mieux catalogue de donnees ?","gestion de base de données","intermédiaire","documenter definitions et proprietaires","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quel objectif associe-t-on surtout a index covering ?","gestion de base de données","avancé","couvrir les colonnes utiles d une requete","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"CTE WITH est principalement utilise pour ...","gestion de base de données","intermédiaire","structurer une requete avec sous etapes lisibles","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quel est le role principal de UPSERT ?","gestion de base de données","intermédiaire","inserer ou mettre a jour en cas de conflit","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Dans un SGBD, a quoi sert fonctions fenetre ?","gestion de base de données","avancé","calculer par partition sans reduire les lignes","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quelle definition decrit le mieux ROW_NUMBER ?","gestion de base de données","avancé","numeroter les lignes selon un ordre","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Quel objectif associe-t-on surtout a principe du moindre privilege ?","gestion de base de données","intermédiaire","accorder seulement les droits necessaires","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"audit trail est principalement utilise pour ...","gestion de base de données","intermédiaire","journaliser qui fait quoi et quand","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quel est le role principal de chiffrement au repos ?","gestion de base de données","avancé","proteger les donnees stockees sur disque","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Dans un SGBD, a quoi sert chiffrement en transit ?","gestion de base de données","avancé","proteger les donnees sur le reseau","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Quelle definition decrit le mieux latence p95 p99 ?","gestion de base de données","avancé","suivre la queue de distribution des temps SQL","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quel objectif associe-t-on surtout a plan de reprise ?","gestion de base de données","intermédiaire","redemarrer apres incident majeur","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"entrepot de donnees est principalement utilise pour ...","gestion de base de données","intermédiaire","centraliser l analytique historique","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"Quel est le role principal de SCD type 2 ?","gestion de base de données","avancé","historiser les changements de dimensions","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"Dans un SGBD, a quoi sert qualite des donnees ?","gestion de base de données","intermédiaire","detecter valeurs manquantes et incoherences","Supprimer toutes les cles primaires","Ne pas utiliser de contraintes d integrite","Interdire les jointures entre tables","Ignorer toute strategie d indexation","A"
"Quelle definition decrit le mieux deduplication ?","gestion de base de données","intermédiaire","fusionner les enregistrements redondants","Toujours dupliquer les lignes","Stocker toutes les valeurs en texte libre","Eviter les transactions","Confondre entites et attributs","A"
"Quel objectif associe-t-on surtout a contrainte NOT NULL ?","gestion de base de données","facile","interdire les valeurs nulles","Remplacer la modelisation par des exports CSV","Eviter le controle de qualite","Ignorer les plans d execution","Desactiver la gestion des droits","A"
"index bitmap est principalement utilise pour ...","gestion de base de données","intermédiaire","accelerer filtres sur faible cardinalite","Supposer qu un index accelere toujours toute requete","Faire du denormalise sans objectif","Ecrire sans tests de requetes","Eviter toute supervision des performances","A"
"En analyse spatiale, quel est le role de autocorrelation spatiale positive ?","analyse spatiale","facile","indiquer que des zones proches ont des valeurs proches","Ignorer les coordonnees geographiques","Supposer une absence totale de biais spatial","Confondre distance reseau et distance euclidienne","Ne jamais valider les residus spatiaux","A"
"Quelle proposition decrit le mieux indice de Moran I ?","analyse spatiale","intermédiaire","mesurer l autocorrelation spatiale globale","Supposer que la proximite n a aucun effet","Melanger train et test sur des zones voisines","Ne pas verifier la projection des donnees","Ignorer les effets de bord","A"
"Pourquoi utilise-t-on LISA local en pratique ?","analyse spatiale","intermédiaire","detecter clusters et outliers locaux","Utiliser une seule echelle sans comparaison","Confondre hotspot et simple moyenne elevee","Eviter toute matrice de voisinage","Interdire la validation croisee spatiale","A"
"Quel objectif est lie a hotspot spatial ?","analyse spatiale","facile","localiser une concentration elevee d evenements","Remplacer toute modelisation par une carte descriptive","Supposer un echantillonnage toujours representatif","Ne jamais controler l autocorrelation residuelle","Ignorer le MAUP","A"
"Getis Ord Gi* sert surtout a ...","analyse spatiale","intermédiaire","tester la significativite locale des concentrations","Ignorer les coordonnees geographiques","Supposer une absence totale de biais spatial","Confondre distance reseau et distance euclidienne","Ne jamais valider les residus spatiaux","A"
"En analyse spatiale, quel est le role de matrice de poids W ?","analyse spatiale","facile","encoder les relations de voisinage","Supposer que la proximite n a aucun effet","Melanger train et test sur des zones voisines","Ne pas verifier la projection des donnees","Ignorer les effets de bord","A"
"Quelle proposition decrit le mieux contiguite reine ?","analyse spatiale","facile","considerer bord ou coin comme voisinage","Utiliser une seule echelle sans comparaison","Confondre hotspot et simple moyenne elevee","Eviter toute matrice de voisinage","Interdire la validation croisee spatiale","A"
"Pourquoi utilise-t-on modele SAR en pratique ?","analyse spatiale","intermédiaire","integrer la dependance spatiale de la variable cible","Remplacer toute modelisation par une carte descriptive","Supposer un echantillonnage toujours representatif","Ne jamais controler l'autocorrélation résiduelle","Ignorer le MAUP","A"
"Quel objectif est lie a modele SEM spatial ?","analyse spatiale","intermédiaire","capturer la dependance dans les erreurs","Ignorer les coordonnees geographiques","Supposer une absence totale de biais spatial","Confondre distance reseau et distance euclidienne","Ne jamais valider les residus spatiaux","A"
"résidus spatiaux sert surtout à ...","analyse spatiale","intermédiaire","vérifier la structure non expliquée restante","Supposer que la proximité n’a aucun effet","Mélanger train et test sur des zones voisines","Ne pas vérifier la projection des données","Ignorer les effets de bord","A"
"En analyse spatiale, quel est le rôle de la loi de Tobler ?","analyse spatiale","intermédiaire","rappeler que la proximité augmente la similarité","Utiliser une seule échelle sans comparaison","Confondre hotspot et simple moyenne élevée","Éviter toute matrice de voisinage","Interdire la validation croisée spatiale","A"
"Quelle proposition décrit le mieux l’interpolation IDW ?","analyse spatiale","intermédiaire","pondérer plus fortement les points proches","Remplacer toute modélisation par une carte descriptive","Supposer un échantillonnage toujours représentatif","Ne jamais contrôler l’autocorrélation résiduelle","Ignorer le MAUP","A"
"Pourquoi utilise-t-on le krigeage en pratique ?","analyse spatiale","avancé","utiliser la covariance spatiale pour prédire","Ignorer les coordonnées géographiques","Supposer une absence totale de biais spatial","Confondre distance réseau et distance euclidienne","Ne jamais valider les résidus spatiaux","A"
"Quel objectif est lié au variogramme ?","analyse spatiale","avancé","décrire la variabilité selon la distance","Supposer que la proximité n’a aucun effet","Mélanger train et test sur des zones voisines","Ne pas vérifier la projection des données","Ignorer les effets de bord","A"
"nugget effect sert surtout à ...","analyse spatiale","avancé","représenter bruit et micro-variabilité","Utiliser une seule échelle sans comparaison","Confondre hotspot et simple moyenne élevée","Éviter toute matrice de voisinage","Interdire la validation croisée spatiale","A"
"En analyse spatiale, quel est le rôle du range du variogramme ?","analyse spatiale","avancé","fixer la distance de décorrélation","Remplacer toute modélisation par une carte descriptive","Supposer un échantillonnage toujours représentatif","Ne jamais contrôler l’autocorrélation résiduelle","Ignorer le MAUP","A"
"Quelle proposition décrit le mieux l’échantillonnage stratifié spatial ?","analyse spatiale","intermédiaire","couvrir des zones hétérogènes","Ignorer les coordonnées géographiques","Supposer une absence totale de biais spatial","Confondre distance réseau et distance euclidienne","Ne jamais valider les résidus spatiaux","A"
"Pourquoi utilise-t-on le MAE spatial en pratique ?","analyse spatiale","intermédiaire","évaluer l’erreur de prédiction géographique","Supposer que la proximité n’a aucun effet","Mélanger train et test sur des zones voisines","Ne pas vérifier la projection des données","Ignorer les effets de bord","A"
"Quel objectif est lié à la grille régulière ?","analyse spatiale","facile","agréger de façon homogène dans l’espace","Utiliser une seule échelle sans comparaison","Confondre hotspot et simple moyenne élevée","Éviter toute matrice de voisinage","Interdire la validation croisée spatiale","A"
"k plus proches voisins sert surtout à ...","analyse spatiale","facile","définir des liens par proximité","Remplacer toute modélisation par une carte descriptive","Supposer un échantillonnage toujours représentatif","Ne jamais contrôler l’autocorrélation résiduelle","Ignorer le MAUP","A"
